task,participant_id,dominant_hand,hand_used,mode,mapping,list,trial,block,block_type,condition,key_correct,key_response,joy_correct,joy_response,correct,reaction_time,item_original,sentence,last_word,meaningful,number_letters,word_count,word_frequency,cloze_probability,original_dataset,spelling_modified,start_time,end_time
SD,amanda02,left,left,full,2,B,11,b1,experimental,Meaningless,NA,NA,left,left,1,1914,282,He turned the page of his favorite,tiger,False,5,7,13806456,0.9,block_baldwin,no,2026-03-07 22:58:06,2026-03-07 22:58:12
SD,amanda02,left,left,full,2,B,12,b1,experimental,Switching,NA,NA,right,right,1,1339,119,The patient's broken arm took a while to,xray,True,4,8,496284,0.88,peele,no,2026-03-07 22:58:12,2026-03-07 22:58:18
SD,amanda02,left,left,full,2,B,13,b1,experimental,Switching,NA,NA,right,right,1,1607,107,Paulina gave the huge lollipop a big,bite,True,4,7,6067411,0.88,peele,no,2026-03-07 22:58:18,2026-03-07 22:58:24
SD,amanda02,left,left,full,2,B,14,b1,experimental,Switching,NA,NA,right,right,1,1384,122,It was announced that the two companies would,compete,True,7,9,9274206,0.96,peele,yes,2026-03-07 22:58:24,2026-03-07 22:58:30
SD,amanda02,left,left,full,2,B,15,b1,experimental,Predictable,NA,NA,right,right,1,996,67,Drivers should keep your eyes on the,road,True,4,7,134754203,0.92,block_baldwin,yes,2026-03-07 22:58:30,2026-03-07 22:58:35
SD,amanda02,left,left,full,2,B,16,b1,experimental,Switching,NA,NA,right,right,1,1101,136,Steven had been raised believing that lying was a,crime,True,5,9,40638766,0.91,peele,no,2026-03-07 22:58:36,2026-03-07 22:58:42
SD,amanda02,left,left,full,2,B,17,b1,experimental,Meaningless,NA,NA,left,left,1,1713,290,The little girl was very afraid of the,cotton,False,6,8,23426176,0.81,block_baldwin,no,2026-03-07 22:58:42,2026-03-07 22:58:48
SD,amanda02,left,left,full,2,B,18,b1,experimental,Meaningless,NA,NA,left,left,1,1648,291,The new officer was of a higher,ball,False,4,7,43872888,0.81,block_baldwin,no,2026-03-07 22:58:49,2026-03-07 22:58:54
SD,amanda02,left,left,full,2,B,19,b1,experimental,Meaningless,NA,NA,left,left,1,1710,281,The farmer spends the morning milking his,act,False,3,7,144298238,0.94,block_baldwin,yes,2026-03-07 22:58:54,2026-03-07 22:59:00
SD,amanda02,left,left,full,2,B,20,b1,experimental,Predictable,NA,NA,right,right,1,1199,38,The kitten played with the ball of,yarn,True,4,7,5119178,0.94,block_baldwin,no,2026-03-07 22:59:00,2026-03-07 22:59:05
SD,amanda02,left,left,full,2,B,21,b1,experimental,Switching,NA,NA,right,right,1,1363,132,Charles knew that the woman was out of his,class,True,5,9,197874283,0.82,peele,no,2026-03-07 22:59:06,2026-03-07 22:59:12
SD,amanda02,left,left,full,2,B,22,b1,experimental,Predictable,NA,NA,right,right,1,1834,33,She threw away the old paper in the,trash,True,5,8,7109005,0.89,block_baldwin,no,2026-03-07 22:59:12,2026-03-07 22:59:18
SD,amanda02,left,left,full,2,B,23,b1,experimental,Predictable,NA,NA,right,right,1,1260,32,The thief ran by and snatched the lady's,purse,True,5,8,5500366,0.87,block_baldwin,no,2026-03-07 22:59:19,2026-03-07 22:59:24
SD,amanda02,left,left,full,2,B,24,b1,experimental,Predictable,NA,NA,right,right,1,1159,29,The boat passed easily under the,bridge,True,6,6,35345740,0.89,block_baldwin,no,2026-03-07 22:59:25,2026-03-07 22:59:29
SD,amanda02,left,left,full,2,B,25,b1,experimental,Predictable,NA,NA,right,right,1,1494,59,The woman's shirt was so worn it had a,hole,True,4,9,26349274,0.86,block_baldwin,no,2026-03-07 22:59:30,2026-03-07 22:59:36
SD,amanda02,left,left,full,2,B,26,b1,experimental,Meaningless,NA,NA,left,left,1,2103,271,He turned to see the dog charging like a,shirt,False,5,9,40728131,0.83,peele,no,2026-03-07 22:59:37,2026-03-07 22:59:43
SD,amanda02,left,left,full,2,B,27,b1,experimental,Meaningless,NA,NA,left,left,1,2112,280,The man presented his new fiancée with an expensive,salt,False,4,9,25429464,0.81,block_baldwin,no,2026-03-07 22:59:44,2026-03-07 22:59:51
SD,amanda02,left,left,full,2,B,28,b1,experimental,Predictable,NA,NA,right,right,1,1371,50,John swept the floor with a,broom,True,5,6,1313376,0.9,block_baldwin,no,2026-03-07 22:59:51,2026-03-07 22:59:56
SD,amanda02,left,left,full,2,B,29,b1,experimental,Predictable,NA,NA,right,right,1,1360,40,"After raking the yard, Pat jumped into the pile of",leaves,True,6,10,22697689,0.92,block_baldwin,no,2026-03-07 22:59:56,2026-03-07 23:00:03
SD,amanda02,left,left,full,2,B,30,b1,experimental,Switching,NA,NA,right,right,1,1066,125,Chocolate is made from the roasted cacao,seeds,True,5,7,11239247,0.84,peele,no,2026-03-07 23:00:04,2026-03-07 23:00:08
SD,amanda02,left,left,full,2,B,31,b1,experimental,Predictable,NA,NA,right,right,1,2138,53,The maid dusted the books on the,shelf,True,5,7,11330977,0.93,block_baldwin,no,2026-03-07 23:00:09,2026-03-07 23:00:15
SD,amanda02,left,left,full,2,B,32,b1,experimental,Predictable,NA,NA,right,right,1,2283,65,None of his books made any,sense,True,5,6,53007762,0.87,block_baldwin,no,2026-03-07 23:00:15,2026-03-07 23:00:21
SD,amanda02,left,left,full,2,B,33,b1,experimental,Switching,NA,NA,right,NA,0,4000,128,Chris said his dog had always been his best,pal,True,3,9,10016948,0.95,peele,no,2026-03-07 23:00:21,2026-03-07 23:00:30
SD,amanda02,left,left,full,2,B,34,b1,experimental,Switching,NA,NA,right,right,1,1668,102,"After swallowing too quickly, Simon began to",burp,True,4,7,455109,0.82,peele,no,2026-03-07 23:00:31,2026-03-07 23:00:36
SD,amanda02,left,left,full,2,B,35,b1,experimental,Meaningless,NA,NA,left,right,0,1083,303,A Dalmatian dog is recognized by its black and white,book,False,4,10,345413157,0.84,block_baldwin,no,2026-03-07 23:00:36,2026-03-07 23:00:43
SD,amanda02,left,left,full,2,B,36,b1,experimental,Predictable,NA,NA,right,right,1,2129,39,He climbed a ladder in order to reshingle the,roof,True,4,9,14851514,0.86,block_baldwin,no,2026-03-07 23:00:43,2026-03-07 23:00:50
SD,amanda02,left,left,full,2,B,37,b1,experimental,Meaningless,NA,NA,left,left,1,1520,276,The infant cried when she got stung by a,die,False,3,9,46929581,0.9,peele,no,2026-03-07 23:00:51,2026-03-07 23:00:57
SD,amanda02,left,left,full,2,B,38,b1,experimental,Meaningless,NA,NA,left,left,1,2212,270,The cop entered the building and showed his,tour,False,4,8,75960822,0.92,peele,no,2026-03-07 23:00:58,2026-03-07 23:01:04
SD,amanda02,left,left,full,2,B,39,b1,experimental,Switching,NA,NA,right,right,1,667,98,"During the hike, Lila's feet hurt more with each",mile,True,4,9,22290799,0.98,peele,no,2026-03-07 23:01:05,2026-03-07 23:01:10
SD,amanda02,left,left,full,2,B,40,b1,experimental,Predictable,NA,NA,right,right,1,1780,81,The store employees knew it was illegal to,steal,True,5,8,6267924,0.87,block_baldwin,no,2026-03-07 23:01:10,2026-03-07 23:01:16
SD,amanda02,left,left,full,2,B,41,b1,experimental,Meaningless,NA,NA,left,left,1,1707,268,George sprinted out the door because he was in a,pear,False,4,10,4333394,0.87,peele,no,2026-03-07 23:01:17,2026-03-07 23:01:24
SD,amanda02,left,left,full,2,B,42,b1,experimental,Meaningless,NA,NA,left,right,0,2641,269,"While cooking, Luke accidentally cut himself with a",iceberg,False,7,8,1226846,0.96,peele,no,2026-03-07 23:01:25,2026-03-07 23:01:31
SD,amanda02,left,left,full,2,B,43,b1,experimental,Meaningless,NA,NA,left,left,1,1591,275,"After saying goodbye, Tim gave his wife a quick",shave,False,5,9,2583608,0.84,peele,no,2026-03-07 23:01:32,2026-03-07 23:01:38
SD,amanda02,left,left,full,2,B,44,b1,experimental,Switching,NA,NA,right,right,1,1386,141,Lily had disliked him from the moment they,talked,True,6,8,9614167,0.99,peele,no,2026-03-07 23:01:39,2026-03-07 23:01:44
SD,amanda02,left,left,full,2,B,45,b1,experimental,Meaningless,NA,NA,left,left,1,1618,295,The landlord did not like when the rent was,boring,False,6,9,6610108,0.8,block_baldwin,no,2026-03-07 23:01:45,2026-03-07 23:01:51
SD,amanda02,left,left,full,2,B,46,b1,experimental,Meaningless,NA,NA,left,left,1,1945,300,She graduated at the top of her,lint,False,4,7,1056974,0.95,block_baldwin,no,2026-03-07 23:01:52,2026-03-07 23:01:57
SD,amanda02,left,left,full,2,B,47,b1,experimental,Predictable,NA,NA,right,right,1,1414,80,The expensive tie was made of,silk,True,4,6,13137405,0.89,block_baldwin,no,2026-03-07 23:01:58,2026-03-07 23:02:03
SD,amanda02,left,left,full,2,B,48,b1,experimental,Switching,NA,NA,right,right,1,3591,118,"Married to a duchess, Max earned the title of",earl,True,4,9,7098366,0.88,peele,no,2026-03-07 23:02:03,2026-03-07 23:02:11
SD,amanda02,left,left,full,2,B,49,b1,experimental,Switching,NA,NA,right,NA,0,4000,142,Sam does not like desserts that are too,tart,True,4,8,1364503,0.86,peele,no,2026-03-07 23:02:12,2026-03-07 23:02:20
SD,amanda02,left,left,full,2,B,50,b1,experimental,Meaningless,NA,NA,left,right,0,1143,274,"In the courtroom, the defendant was silenced by the",apple,False,5,9,50913495,0.85,peele,no,2026-03-07 23:02:21,2026-03-07 23:02:27
SD,amanda02,left,left,full,2,B,51,b1,experimental,Switching,NA,NA,right,right,1,1841,139,Suzy saw a sign that said babysitter for,weekends,True,8,8,9954499,0.88,peele,no,2026-03-07 23:02:27,2026-03-07 23:02:33
SD,amanda02,left,left,full,2,B,52,b1,experimental,Switching,NA,NA,right,right,1,808,133,Their water source on the farm was the old,pond,True,4,9,9246183,0.89,peele,no,2026-03-07 23:02:34,2026-03-07 23:02:39
SD,amanda02,left,left,full,2,B,53,b1,experimental,Switching,NA,NA,right,right,1,898,129,He knew about the prank they were trying to,complete,True,8,9,152155277,0.8,peele,no,2026-03-07 23:02:40,2026-03-07 23:02:45
SD,amanda02,left,left,full,2,B,54,b1,experimental,Predictable,NA,NA,right,left,0,711,54,"After driving over sharp glass, Ronald had a flat",tire,True,4,9,9208689,1.0,peele,no,2026-03-07 23:02:46,2026-03-07 23:02:51
