Sentence,LastWord,Meaningful,Predictability,cloze_probability,word_count,Condition
"As a clumsy toddler, Serena often spilled her",water,True,low ,0.34,7,Switching
The farmer spends the morning milking his,act,False,high ,0.94,7,Meaningless
All the professional athlete wanted was a back,rub,True,low ,0.38,8,Predictable
The cargo at the shipyard fell with a loud,bang,True,low ,0.33,9,Predictable
"After receiving bad news, the patient began to",stay,False,high ,0.83,8,Meaningless
Ollie was tired of the radio playing the same,way,True,high ,0.84,9,Switching
All the gym trainers were in great shape and,snack,False,low ,0.36,9,Meaningless
"Over the summer, the boys went swimming in the",lagoon,True,low ,0.5,9,Switching
Chocolate is made from the roasted cacao,seeds,True,high ,0.84,7,Switching
The thief ran by and snatched the lady's,purse,True,high ,0.87,8,Predictable
"After hitting the iceberg, the ship began to",sink,True,high ,0.96,8,Predictable
She did not have the right key for the,lock,True,low ,0.44,9,Predictable
It is difficult for any large business to,succeed,True,low ,0.33,8,Predictable
The cop entered the building and showed his,tour,False,high ,0.92,8,Meaningless
When the alarm rang the firefighter slid down the,pole,True,high ,0.94,9,Predictable
She washed the dirty dishes in the,sink,True,high ,0.92,7,Predictable
"The simple, fun camp game soon escalated into a",disaster,True,low ,0.5,9,Switching
Claire claimed motherhood was the hardest job she ever,accomplished,True,high ,0.82,9,Switching
The lecture should last about one,hour,True,high ,0.91,6,Predictable
"For a runner, Ted is rather",wrong,False,low ,0.5,6,Meaningless
Bradley prefers cats over,second,False,high ,0.91,4,Meaningless
Nicola walked towards the lake till she hit the,dandelion,False,low ,0.44,9,Meaningless
The librarian sternly told us to be,quiet,True,high ,0.8,7,Predictable
Our walk was illuminated by the light of the,sun,True,high ,0.84,9,Switching
Karen realized she had stepped in a pile of,trash,True,low ,0.49,9,Switching
Although Keith bowled well he did not have the highest,score,True,high ,0.94,10,Predictable
"When Jen showed the treat, Maggie's tail began to",hold,False,high ,0.96,9,Meaningless
"Before descending the canyon, we hiked the",trail,True,low ,0.41,7,Predictable
John swept the floor with a,broom,True,high ,0.9,6,Predictable
"As a clumsy toddler, Serena often spilled her",milk,True,low ,0.34,7,Predictable
The girls drew beautiful designs on the street with,pride,True,high ,0.83,9,Switching
"Exiting the pool, the children were so cold they",changed,True,high ,0.87,9,Switching
The rowdy player was ejected after a nasty,study,False,low ,0.46,8,Meaningless
The man liked to play his music too,loud,True,high ,0.84,8,Predictable
The woman's earring was a small silver,hoop,True,low ,0.32,7,Predictable
"To prevent football injury, all players must wear shoulder",mistake,False,high ,0.96,9,Meaningless
The gentleman on the bus offered the child his,snack,True,high ,0.9,9,Switching
The reckless driver drove too quickly around the,sign,True,high ,0.95,6,Predictable
Wade spotted the incoming ball and was able to,run,True,low ,0.36,9,Switching
The directions did not match any roads on the,anger,False,high ,0.85,9,Meaningless
Her left hand was freezing after she lost her,jacket,True,high ,0.8,9,Switching
For breakfast Jim wanted bacon and,eggs,True,high ,0.91,6,Predictable
They broke into the store and began to,search,True,low ,0.42,8,Switching
"After saying goodbye, Tim gave his wife a quick",shave,False,high ,0.84,9,Meaningless
"To avoid hitting her head, she had to",jump,True,high ,0.85,8,Switching
"As Jill felt the sharp pain, she began to",pant,True,low ,0.46,9,Switching
The princess was pulled onto the horse by the,servant,True,low ,0.37,9,Switching
"Before placing each brick, he applied a glob of",plaster,True,low ,0.46,9,Switching
George must keep his pet on a,leash,True,high ,0.9,7,Predictable
"While trying to lift the box, Jeffrey pulled his",back,True,low ,0.39,9,Predictable
"While preparing the meal, the chef couldn't find his",zoo,False,low ,0.41,9,Meaningless
Incredibly poor food service is my pet,peeve,True,high ,0.96,7,Predictable
I could not remember his,name,True,high ,0.92,5,Predictable
A gas lamp is always a good source of,illumination,True,high ,0.89,9,Switching
The evil witch eyed the young princess with a,glance,True,low ,0.31,9,Switching
Jan dropped the lightbulb and it cracked near the,sore,False,low ,0.47,9,Meaningless
The building isn't for sale but it's available to,kill,False,high ,0.81,9,Meaningless
The beautiful woman in the story turned into a,cloth,False,low ,0.44,9,Meaningless
The dessert was so good it was hard to,reject,True,low ,0.41,9,Switching
At last the time for action had,come,True,high ,0.84,7,Predictable
A black European crow is sometimes called a,raven,True,low ,0.42,8,Predictable
The castle was protected by its stone,fans,False,high ,0.86,7,Meaningless
She threw away the old paper in the,trash,True,high ,0.89,8,Predictable
Frank read by the fireplace while his grandmother,dripped,False,low ,0.4,8,Meaningless
At recess the younger children usually play,alone,True,low ,0.42,7,Switching
The store employees knew it was illegal to,steal,True,high ,0.87,8,Predictable
France is a country that is famous for,wine,True,low ,0.31,8,Predictable
A large stone blocked the entrance to the,cave,True,low ,0.36,8,Predictable
The infant cried when she got stung by a,die,False,high ,0.9,9,Meaningless
The baby bird was ready to learn to,drive,False,high ,0.91,8,Meaningless
It was announced that the two companies would,compete,True,high ,0.96,9,Switching
April ran her errands during her lunch,kit,False,high ,0.86,7,Meaningless
"During the earthquake, many of the small buildings",shook,True,low ,0.39,8,Switching
"When the two met, one of them held out his",hand,True,high ,0.95,10,Predictable
He had a long day and was in a bad,bake,False,high ,0.95,10,Meaningless
Drake didn't like barbecued meat because of the,calories,True,low ,0.37,8,Switching
Daniel was upset that his basketball team didn't,compete,True,high ,0.91,8,Switching
"The toddler enjoyed feeding bread to the fat, white",duck,True,low ,0.5,9,Predictable
The crowd became rowdy after drinking too much sweet,bourbon,True,low ,0.32,9,Switching
There is a bit of cyanide in each apple,cap,False,low ,0.48,9,Meaningless
"Married to a duchess, Max earned the title of",earl,True,high ,0.88,9,Switching
To cook a meal you will surely need a,cat,False,low ,0.44,9,Meaningless
The car suddenly appeared and Liz wasn't able to,heal,False,low ,0.35,9,Meaningless
There was not room for the triplets in the,pram,True,low ,0.34,9,Switching
"After driving over sharp glass, Ronald had a flat",tire,True,high ,1.0,9,Predictable
A nearby woman sprayed the robber with,perfume,True,high ,0.8,7,Switching
Winston's prized chess set was missing a,piece,True,low ,0.43,7,Predictable
"According to the Bible, murder is a",evil,True,high ,0.96,7,Switching
The doctor's suitcase was worn and obviously very,old,True,high ,0.89,8,Predictable
Her baby was not ready to leave the,home,True,low ,0.32,8,Switching
The little girl tripped and immediately began to,bleed,True,high ,0.9,8,Switching
Marcus struggled to build a birdhouse even with the,instructions,True,low ,0.39,9,Predictable
Weddings bring out excitement and general feelings of,joy,True,low ,0.34,8,Predictable
Stacy was not careful and spilled wine on her,purse,True,low ,0.44,9,Switching
The officer barged in and quickly flashed his,flashlight,True,high ,0.81,8,Switching
The excited crowd of people quickly formed a,sauce,False,low ,0.35,8,Meaningless
The candles smelled even better when they were,punished,False,high ,0.87,8,Meaningless
Many women are very conscious of their,waist,True,low ,0.32,7,Switching
The reckless driver drove too quickly around the,ledge,True,low ,0.42,8,Switching
The thief ran away after taking the woman's,friend,False,high ,0.9,8,Meaningless
Patrick did not think Kayla was worth fighting,about,True,high ,0.8,8,Predictable
"At the rock concert, the music was extremely",good,True,high ,0.98,8,Switching
"While cooking, Luke accidentally cut himself with a",iceberg,False,high ,0.96,8,Meaningless
After the recital she faced the audience and took a,mountain,False,high ,0.89,10,Meaningless
The tranquil park atmosphere was disturbed by the honking,horn,True,low ,0.36,9,Predictable
Many people will carry important items in a,envelope,True,low ,0.37,8,Switching
When Colin saw smoke he called 911 to report a,kick,False,high ,0.91,10,Meaningless
The box landed on the ground with a dull,impact,True,high ,0.85,9,Switching
A Dalmatian dog is recognized by its black and white,book,False,high ,0.84,10,Meaningless
The necklaces were what the thief intended to,sell,True,high ,0.83,8,Switching
Meg hated that cleaning the bathroom was her,chore,True,low ,0.47,8,Predictable
American Presidents are limited to serving a period of eight,years,True,high ,0.84,10,Predictable
Jamie preferred to use cooking foil made of,aluminum,True,high ,0.81,8,Predictable
"After swallowing too quickly, Simon began to",burp,True,high ,0.82,7,Switching
"After speaking, Allen left the noisy",room,True,high ,0.81,6,Predictable
Bob planned to reopen the restaurant in the,peat,False,low ,0.38,8,Meaningless
"At the show, all the animals jumped through a",window,True,high ,0.94,9,Switching
The body builder's arm muscles were extremely,late,False,low ,0.4,7,Meaningless
When she got out of the car she closed the,door,True,high ,0.95,10,Predictable
Paige thought the color of the wall was rather,dull,True,low ,0.34,9,Predictable
The farmer collected wood to build a new,hut,True,low ,0.32,8,Switching
An ulcer on the skin is a painful,injury,True,low ,0.41,8,Switching
"Instead of a purebred dog, John chose a",rescue,True,high ,0.89,8,Switching
Lily had disliked him from the moment they,talked,True,high ,0.99,8,Switching
"Tired of beige walls, Ingrid painted them a bold",red,True,low ,0.38,9,Predictable
The new officer was of a higher,ball,False,high ,0.81,7,Meaningless
"After Grace slipped on the floor, she bought a",rug,True,low ,0.45,9,Predictable
Sam does not like desserts that are too,tart,True,high ,0.86,8,Switching
Some clothing types don't last long because they easily,move,False,low ,0.44,9,Meaningless
The bride smiled as she walked down the,aisle,True,high ,0.88,8,Predictable
Abby stuck his picture to her wall with a,sticker,True,low ,0.46,9,Switching
The patient's broken arm took awhile to,X-ray,True,high ,0.88,7,Switching
"Soon after Janice stepped on the wet floor, she",stumbled,True,high ,0.82,9,Switching
I roasted the marshmallow over the,fire,True,high ,0.89,6,Predictable
Their water source on the farm was the old,pond,True,high ,0.89,9,Switching
The elementary school girl loved to hula,dance,True,high ,0.83,7,Switching
Alexander just knew that he would win the big,match,True,low ,0.32,9,Switching
His worst fear was that the spectators would,disapprove,True,low ,0.36,8,Switching
Some people don't enjoy food and only eat to,cut,False,low ,0.38,9,Meaningless
"Out of habit, the family always ate dinner at",shower,False,low ,0.43,9,Meaningless
Grandmother baked a pie and set it on the,counter,True,low ,0.34,9,Predictable
She adores rain but doesn't at all like,snow,True,low ,0.42,8,Predictable
His brand new soccer ball landed in the,sewer,True,low ,0.34,8,Switching
The boxer knocked out his opponent with a sudden,joke,False,low ,0.48,9,Meaningless
Yolanda took the wet clothes outside to,air,True,high ,0.92,7,Switching
He knew about the prank they were trying to,complete,True,high ,0.8,9,Switching
Andy reached the curb and told the dog to,sit,True,low ,0.42,9,Predictable
Jan tried to squeeze in but there was no,room,True,high ,0.85,9,Predictable
They were startled by the sudden,noise,True,low ,0.5,6,Predictable
The kitten played with the ball of,yarn,True,high ,0.94,7,Predictable
Charles knew that the woman was out of his,class,True,high ,0.82,9,Switching
The woman said she had finally found,baseball,False,low ,0.36,7,Meaningless
Mary agreed that a popsicle would be the right,treat,True,low ,0.41,9,Predictable
Spring was Jo's favorite season of the,year,True,high ,0.94,7,Predictable
"After the engine took on water, the car began to",learn,False,low ,0.37,10,Meaningless
The villagers had never ventured out of the,village,True,low ,0.32,8,Predictable
"In woodshop, Alex smoothed the baseball bat with the",mob,False,low ,0.32,9,Meaningless
The boat passed easily under the,bridge,True,high ,0.89,6,Predictable
The hungry owl searched the field for its,fashion,False,low ,0.47,8,Meaningless
A stray baseball smacked an unsuspecting walker in the,stadium,True,low ,0.45,9,Switching
He climbed a ladder in order to reshingle the,roof,True,high ,0.86,9,Predictable
"Ellen enjoys poetry, painting, and other forms of",art,True,high ,0.94,8,Predictable
"Before leaving for the party, Kim dabbed on some",perfume,True,low ,0.49,9,Predictable
The fisherman easily put the bait on the,rod,True,high ,0.93,8,Switching
"When at the fair, her kids always have great",behavior,True,low ,0.45,9,Switching
Spaghetti is the girl's favorite type of,table,False,low ,0.49,7,Meaningless
Greg clutched his queasy stomach and began to,sweat,True,low ,0.47,8,Switching
He liked lemon and sugar in his,tea,True,high ,0.81,7,Predictable
The vacuum's defects affected its ability to,clean,True,low ,0.38,7,Predictable
"She didn't give him a long kiss, just a",smack,True,high ,0.87,9,Switching
Joan fed her baby some warm,milk,True,high ,0.88,6,Predictable
Rachel missed her appointment after writing down the wrong,day,True,low ,0.36,9,Switching
Being a father and a businessman made his role,perfect,True,low ,0.31,9,Switching
Karen shrieked when she discovered the dead,person,True,low ,0.36,7,Switching
George sprinted out the door because he was in a,pear,False,high ,0.87,10,Meaningless
Jill cried and said her life had become a,glove,False,low ,0.4,9,Meaningless
The little girl was very afraid of the,cotton,False,high ,0.81,8,Meaningless
She graduated at the top of her,lint,False,high ,0.95,7,Meaningless
Grace didn't like eating foods with a lot of,lipstick,False,low ,0.39,9,Meaningless
Many brunettes like to dye their hair,cold,False,high ,0.86,7,Meaningless
"Even in the most trying times, she kept her",cool,True,low ,0.5,9,Predictable
None of his books made any,sense,True,high ,0.87,6,Predictable
Ellen replaced the fuse that no longer,worked,True,high ,0.86,7,Predictable
Larry's motto was always do what you,die,False,low ,0.5,7,Meaningless
He used his skateboard to grind along the,rails,True,low ,0.38,8,Predictable
"Tired from studying, Dan crumpled his papers into a",bin,True,high ,0.8,9,Switching
Kennedy told her mom she felt stuck in a,loop,True,high ,0.87,9,Switching
The fluffy white clouds are high up in the,sky,True,high ,0.93,9,Predictable
His car is huge so it's too heavy to,push,True,low ,0.44,9,Predictable
Jeff felt like he would never finish at that,school,True,low ,0.45,9,Switching
The crazy old lady was thought of as a,witch,True,low ,0.45,9,Predictable
"During the hike, Lila's feet hurt more with each",mile,True,high ,0.98,9,Switching
I would drive but my car is low on,gas,True,high ,0.9,9,Predictable
Napa Valley in California is known for making,chardonnay,True,high ,0.94,8,Switching
The boat sailed faster after tightly pulling in the,sail,True,low ,0.5,9,Predictable
The strong landscaper removed the tree root with one,pull,True,low ,0.41,9,Predictable
The academic year began in the,fall,True,high ,0.82,6,Predictable
Ana accidentally tripped and fell down the,stairs,True,high ,0.88,7,Predictable
"To relax herself, she liked to listen to smooth",jazz,True,low ,0.47,9,Predictable
His favorite place to relax is on the,yacht,True,low ,0.41,8,Switching
"When the robber trapped Dorothy, she began to",cry,True,low ,0.37,8,Predictable
He wondered whether it was coincidence or,fate,True,low ,0.49,7,Predictable
Success is often just a matter of hard,scream,False,high ,0.93,8,Meaningless
The accountant ironed a shirt before going to,work,True,high ,0.9,8,Predictable
"After receiving a treat, the dog's tail began to",curl,True,high ,0.98,9,Switching
The man presented his new fiancée with an expensive,salt,False,high ,0.81,9,Meaningless
He turned to see the dog charging like a,shirt,False,high ,0.83,9,Meaningless
The gas station is about two miles down the,road,True,high ,0.88,9,Predictable
The boy won the chess competition by using his,brain,True,low ,0.36,9,Predictable
The woman'S shirt was so worn it had a,hole,True,high ,0.86,9,Predictable
The heavy box had both a large volume and,weight,True,low ,0.38,9,Predictable
The fisherman trapped hundreds of sharks in their,location,True,high ,0.82,8,Switching
The company said they were looking to,merge,True,low ,0.37,7,Switching
Eric was worried that his car didn't have enough,oil,True,high ,0.86,9,Switching
The chef wanted his steaks to have a good,texture,True,low ,0.38,9,Switching
When she was only twenty years old she found,freedom,True,low ,0.41,9,Switching
"Angry at the late employee, Brandon began to",increase,False,low ,0.5,8,Meaningless
The child looked outside and watched the flying,dog,False,low ,0.4,8,Meaningless
Delia needed her keys and rummaged around in her,apartment,True,high ,0.8,9,Switching
Barry said that accounting work was no,fun,True,low ,0.35,7,Predictable
The knight prepared for battle and drew his,sword,True,high ,0.91,8,Predictable
That boy is always saying he'll someday be,popular,True,low ,0.31,8,Switching
"The mother was against swearing, calling it a",crime,True,high ,0.85,8,Switching
Greta quickly woke after Jess gave her a painful,squeeze,True,low ,0.39,9,Switching
"After she bought the dress, she ripped off its",lace,True,high ,0.81,9,Switching
"While his parents vacationed, the kid threw a huge",fit,True,high ,0.84,9,Switching
Everyone thought the pasta dish needed more,marinara,True,low ,0.31,7,Switching
Jenny was creative and loved to study,art,True,high ,0.82,7,Predictable
The boys ran to the car carrying their,bags,True,low ,0.34,8,Predictable
It seemed like the girl was always running,along,True,low ,0.41,8,Switching
After missing lunch Harry badly needed some,rest,True,high ,0.84,7,Switching
Surfers are scared of getting bitten by a,mirror,False,high ,0.92,8,Meaningless
"After washing his hands, Brandon dried them with a",napkin,True,high ,0.96,9,Switching
Tammy was not a gambler because she had bad,luck,True,high ,0.86,9,Predictable
The convenience store was robbed by a small,game,False,low ,0.37,8,Meaningless
"Hearing noises from above, the confused man inspected the",attic,True,low ,0.32,9,Predictable
He turned the page of his favorite,tiger,False,high ,0.9,7,Meaningless
